variable,coef,std_err,z,p_value
Group Var,,,6.253076438653457,4.0244503696630975e-10
Group x gest_week Cov,,,-5.521612032910433,3.359035294186292e-08
Intercept,0.025755754591910953,0.028005260997077498,0.9196755779065479,0.35774231862624883
age,-0.0004914786302575017,0.00048294900595007034,-1.0176615423209159,0.30883882951665576
bmi_s0,0.10142224275380905,0.04760671866856838,2.130418680184559,0.03313706293351941
bmi_s1,0.009989917622194039,0.020367266212398105,0.4904888814244941,0.6237879956897072
bmi_s2,0.017265011848268032,0.03225104676397675,0.5353318289052381,0.5924204206576418
gest_week Var,,,6.1634638634235674,7.117062618198584e-10
gw_s0,0.015437120771646063,0.004609861221861345,3.348717028278119,0.0008118666786463599
gw_s1,0.017271259338336543,0.004060306192605841,4.253683963487522,2.1028202972928594e-05
gw_s2,0.04346892435185521,0.008198423446625282,5.302107732645638,1.1447324988156541e-07
gw_s3,0.12364140554470632,0.010429533425252243,11.85493161614907,2.028897944530645e-32
weight_resid,-0.0010200278751454185,0.002515177332324534,-0.40554908874067574,0.6850739429539002
