model,log_likelihood,n_fe,n_params,AIC,BIC,RMSE,MAE
M1_MultiGAMM,2621.21,10,14,-5214.43,-5144.62,0.010091,0.007045
M2_BaselineGAMM,2618.35,10,14,-5208.7,-5138.89,0.010076,0.007032
