model,log_likelihood,n_fe,n_params,AIC,BIC,RMSE,MAE
M1_GAMM,2632.4,8,12,-5240.8,-5180.96,0.010079,0.007039
M2_LME,2594.02,3,7,-5174.04,-5139.13,0.011076,0.0077
